title | number of Violations found
Extpose | 5
Exude API Service | 1
Api Documentation | 23
Faretrotter Travel API | 19
OpenFEC | 501
Fisheye Crucible | 281
Figshare API | 551
Files.com API | 2699
Fire Financial Services Business API | 81
IoTVAS API | 38
FRC Events | 3
FishEye | 68
Flat API | 101
Flickr API Schema | 50
API v1 | 43
Frankie Financial API | 58
FraudLabs Pro Fraud Detection | 8
FraudLabs Pro SMS Verification | 7
Freesound | 5
Fulfillment.com APIv2 | 20
Barcode API | 7
Fake identity generation API | 20
Random Lottery Number generator API | 3
Name Generation API | 2
Pirates API | 9
Fun Generators API | 5
Facts API | 10
Shakespeare API | 7
Taunt as a service | 2
UUID Generation API | 5
FunTranslations Braille API | 4
FunTranslations API | 63
Starwars Translations API | 14
Furkot Trips | 4
MIMIC REST API | 1325
GeoDataSource Location Search | 3
geodesystems.com:443 | 916
GoToTraining | 70
GoToWebinar | 117
Postman API | 17
Sandbox API | 9
bng2latlong | 1
Getty Images | 281
Giphy API | 66
Gisgraphy webservices | 40
Gitlab | 832
GlobalWineScore API Documentation | 10
Google Home | 94
Abusive Experience Report API | 3
Accelerated Mobile Pages (AMP) URL API | 5
Access Approval API | 19
Access Context Manager API | 14
Ad Exchange Buyer API | 74
Ad Exchange Buyer API II | 113
Ad Experience Report API | 3
Admin SDK API | 21
AdMob API | 16
AdSense Management API | 55
AdSense Host API | 42
Google Workspace Alert Center API | 26
Google Analytics API | 113
Google Analytics Admin API | 149
Google Analytics Data API | 24
Analytics Reporting API | 10
Android Device Provisioning Partner API | 38
Google Play EMM API | 202
Android Management API | 28
Google Play Android Developer API | 262
API Gateway API | 24
Apigee API | 231
API Keys API | 17
App Engine Admin API | 94
Drive Activity API | 5
Area120 Tables API | 27
Artifact Registry API | 44
Assured Workloads API | 28
Cloud AutoML API | 64
Bare Metal Solution API | 75
BigQuery API | 54
BigQuery Connection API | 21
BigQuery Data Transfer API | 29
BigQuery Reservation API | 30
Cloud Billing Budget API | 8
Binary Authorization API | 23
Blogger API | 68
Books API | 18
Calendar API | 59
Google Chat API | 14
Chrome Management API | 38
Chrome Policy API | 63
Chrome UX Report API | 7
Google Civic Information API | 6
Google Classroom API | 106
Cloud Asset API | 6
Cloud Billing API | 6
Cloud Build API | 11
Cloud Channel API | 105
Cloud Debugger API | 24
Error Reporting API | 13
Cloud Functions API | 32
Cloud Identity API | 84
Cloud IoT API | 43
Cloud Key Management Service (KMS) API | 72
Cloud Private Catalog | 10
Cloud Private Catalog Producer | 43
Stackdriver Profiler API | 9
Cloud Resource Manager API | 63
Cloud Scheduler API | 20
Cloud Search API | 99
Cloud Shell API | 21
Cloud Tasks API | 44
Cloud Trace API | 8
Perspective Comment Analyzer API | 7
Cloud Composer API | 24
Contact Center AI Insights API | 53
Kubernetes Engine API | 171
Container Analysis API | 40
Content API for Shopping | 214
Custom Search API | 3
Google Cloud Data Catalog API | 54
Dataflow API | 99
Cloud Data Fusion API | 43
Data Labeling API | 62
Database Migration API | 51
Cloud Dataproc API | 82
Cloud Datastore API | 7
Cloud Deployment Manager V2 API | 77
Campaign Manager 360 API | 351
Dialogflow API | 127
Digital Asset Links API | 7
API Discovery Service | 1
Display & Video 360 API | 299
Cloud Data Loss Prevention (DLP) API | 49
Cloud DNS API | 76
Google Docs API | 10
Cloud Document AI API | 58
Cloud Domains API | 68
Domains RDAP API | 12
Search Ads 360 API | 31
Drive API | 72
Essential Contacts API | 15
Eventarc API | 27
Fact Check Tools API | 11
Firebase Cloud Messaging API | 4
Firebase Cloud Messaging Data API | 3
Cloud Filestore API | 30
Firebase Management API | 49
Firebase App Check API | 78
Firebase Realtime Database API | 17
Firebase Dynamic Links API | 15
Firebase Hosting API | 29
Firebase ML API | 10
Firebase Rules API | 18
Cloud Storage for Firebase API | 13
Cloud Firestore API | 16
Fitness API | 31
Google Play Game Services | 78
Google Play Game Services Publishing API | 18
Google Play Game Management | 74
Game Services API | 22
Genomics API | 17
GKE Hub API | 38
Gmail API | 212
Gmail Postmaster Tools API | 7
Groups Migration API | 3
Groups Settings API | 4
Cloud Healthcare API | 172
HomeGraph API | 19
Identity and Access Management (IAM) API | 8
IAM Service Account Credentials API | 13
Cloud Identity-Aware Proxy API | 15
Idea Hub API | 5
Identity Toolkit API | 70
Indexing API | 7
Cloud Talent Solution API | 38
Knowledge Graph Search API | 3
Cloud Natural Language API | 20
Library Agent API | 13
Enterprise License Manager API | 16
Cloud Life Sciences API | 13
Local Services API | 8
Cloud Logging API | 77
Managed Service for Microsoft Active Directory API | 73
Manufacturer Center API | 13
Cloud Memorystore for Memcached API | 30
Dataproc Metastore API | 59
Google Mirror | 29
AI Platform Training & Prediction API | 74
Cloud Monitoring API | 47
Google My Business API | 85
My Business Account Management API | 13
My Business Lodging API | 6
My Business Notifications API | 2
My Business Place Actions API | 4
Network Connectivity API | 32
Network Management API | 29
Network Security API | 63
Network Services API | 48
Notebooks API | 108
Google OAuth2 API | 7
On-Demand Scanning API | 18
Organization Policy API | 17
OS Config API | 39
Cloud OS Login API | 12
PageSpeed Insights API | 3
Payments Reseller Subscription API | 21
People API | 73
Playable Locations API | 6
Google Play Custom App Publishing API | 4
Google+ API | 16
Policy Analyzer API | 5
Policy Simulator API | 3
Policy Troubleshooter API | 6
Poly API | 5
Certificate Authority API | 23
SAS Portal API (Testing) | 55
Proximity Beacon API | 44
Real-time Bidding API | 10
reCAPTCHA Enterprise API | 32
Recommendations AI (Beta) | 41
Recommender API | 26
Google Cloud Memorystore for Redis API | 33
Remote Build Execution API | 14
Replica Pool | 18
Google Workspace Reseller API | 52
Resource Settings API | 6
Retail API | 126
Cloud Run Admin API | 37
Cloud Runtime Configuration API | 28
Safe Browsing API | 16
SAS Portal API | 55
Apps Script API | 30
Google Search Console API | 26
Secret Manager API | 43
Security Command Center API | 7
Service Broker | 34
Service Consumer Management API | 14
Service Control API | 7
Service Directory API | 32
Service Management API | 47
Service Networking API | 16
Service Usage API | 37
Google Sheets API | 59
Google Site Verification API | 10
Google Slides API | 14
Smart Device Management API | 12
Cloud Source Repositories API | 27
Cloud Spanner API | 99
Cloud Speech-to-Text API | 5
Cloud SQL Admin API | 98
Cloud Storage JSON API | 45
Storage Transfer API | 30
Street View Publish API | 37
Security Token Service API | 2
Tag Manager API | 134
Tasks API | 26
Cloud Testing API | 16
Cloud Text-to-Speech API | 13
Cloud Tool Results API | 57
Cloud TPU API | 41
Traffic Director API | 6
Transcoder API | 10
Cloud Translation API | 35
Google Vault API | 66
Semantic Tile API | 2
Chrome Verified Access API | 7
Cloud Video Intelligence API | 4
Cloud Vision API | 25
Web Fonts Developer API | 2
Search Console API | 17
Web Risk API | 18
Web Security Scanner API | 22
Workflow Executions API | 10
Workflows API | 12
YouTube Data API v3 | 171
YouTube Analytics API | 1
YouTube Reporting API | 15
My Business Business Information API | 23
My Business Verifications API | 13
Connectors API | 30
Authorized Buyers Marketplace API | 76
versionhistory.googleapis.com API | 5
Migrate to Virtual Machines API | 66
Datastream API | 45
Data pipelines API | 17
Google Cloud Support API | 29
Google Cloud Deploy API | 61
My Business Q&A API | 10
Cloud IDS API | 26
Certificate Manager API | 31
Google Play Integrity API | 5
Cloud Dataplex API | 73
My Business Business Calls API | 3
Google Forms API | 22
Google Play Developer Reporting API | 16
Backup for GKE API | 41
Analytics Hub API | 30
Apigee Registry API | 60
BeyondCorp API | 41
Business Profile Performance API | 9
Drive Labels API | 28
Application Integration API | 79
BC Data Catalogue API | 116
BC Geographical Names Web Service - REST API | 49
Geocoder REST API | 69
GeoMark Web Service REST API | 46
Groundwater Wells, Aquifers and Registry API | 72
WorkBC Job Posting API | 3
BC Gov News API Service 1.0 | 62
DriveBC's Open511 API | 9
BC Route Planner REST API | 85
GraphHopper Directions API | 25
Greenwire Public API | 1
Discovery Market Research | 11
HackathonWatch | 27
Metadata | 94
Profile | 21
Stats | 151
UGC | 23
Handwrytten API | 54
Healthcare | 34
HERE Network Positioning API v2 | 5
hetras Booking API Version 0 | 160
hetras Hotel API Version 0 | 171
Hetzner Cloud API | 212
HHS Media Services API | 200
Highways England API | 40
shinobiapi | 118
ATM Locator API | 14
Branch Locator API | 16
Product Finder API | 20
httpbin.org | 211
Custom Behavioral Events API | 3
OAuthService | 7
Custom Workflow Actions | 35
Domains | 7
Subscriptions | 13
Visitor Identification | 5
CRM cards | 12
HubSpot Events API | 4
Files | 40
Marketing Events Extension | 33
Webhooks API | 15
Hubhopper Partner Integration API(s) - Production | 21
Hydra Movies | 11
Growth Services | 109
eNanoMapper database | 43
IoE² IoT API - to create end-user applications | 94
IllumiDesk | 329
import.io | 5
Mailsquad | 8
Infermedica API | 29
Dados Abertos - API | 32
Instagram API | 40
Intel Product Catalogue Service | 19
IBKR 3rd Party Web API | 90
Interzoid Convert Currency Rate API | 7
Interzoid Get Address Match Similarity Key API | 6
Interzoid Get Area Code From Number API | 8
Interzoid Get City Match Similarity Key API | 7
Interzoid City Data Standardization API | 7
Interzoid Get Company Name Match Similarity Key API | 7
Interzoid Get Country Match Similarity Key API | 7
Interzoid Country Data Standardization API | 7
Interzoid Get Currency Rate API | 8
Interzoid Get Email Information API | 8
Interzoid Get Full Name Match Similarity Key API | 7
Interzoid Get Full Name Parsed Match Similarity Key API | 7
Interzoid Get Global Phone Number Information API | 8
Interzoid Get Global Time API | 8
Interzoid State Data Standardization API | 7
Interzoid Get Weather City API | 8
Interzoid Get Weather By Zip Code API | 8
Interzoid Zip Code Detailed Info API | 7
Interzoid Global Page Load Performance API | 7
Interzoid Get Area Code API | 8
IP2Location IP Geolocation | 3
IP2Proxy Proxy Detection | 3
IP2WHOIS Domain Lookup | 1
ipTwist | 4
iQualify Management API | 49
ISBNdb API | 34
API iSendPro | 13
Entertainment Express API | 3
IX-API | 392
Zettle Product Library API | 74
Jellyfin API | 1287
JIRA 7.6.1 | 810
Jirafe Events | 38
Jokes One API | 14
journy.io API docs | 17
Jumpseller API | 219
Just Eat UK | 206
Keycloak Admin REST API | 1070
KeyServ | 29
koomalooma Partner API | 8
LambdaTest Screenshots API Documentation | 5
Deed API | 5
LanguageTool API | 9
LaunchDarkly REST API | 266
Learnifier | 44
LetMC Api V2, Basic (Tier 2) | 98
agentOS Api V2, Customer Login Call Group | 40
LetMC Api V2, Free (Tier 1) | 95
LetMC Api V3, reporting | 12
LGTM API specification | 45
link.fish API | 18
Reimbursements API | 8
Listen API: Podcast Search & Directory API | 124
LotaData | 5
LH Partner API | 58
LH Public API | 39
Lumminary API | 43
Lyft | 21
Magento B2B | 549
Tradeworks | 21
Otoroshi Admin API | 382
MailboxValidator Free Email Checker | 5
MailboxValidator Disposable Email Checker | 5
MailboxValidator Email Validation | 5
Mailscript | 60
Mandrill | 379
GeoDB Cities API | 28
MasterCard Bin Table Listing | 2
Bill Payment Validator | 1
API for the Settlement Currency Rate converter | 13
Locations API | 9
MATCH API | 17
MasterCard ABU API | 6
MDES Customer Service | 30
Merchant Identifier API V2 | 2
Payment Account Reference Inquiry API | 6
Personalized Offers | 11
rePower | 4
Spending Pulse | 3
Send Person to Merchant | 29
Open Banking - Payments initiation service | 26
Numbers API | 4
M-Bus HTTPD API | 37
Rat Genome Database REST API | 569
Medcorder Nearby Doctor API | 1
Car Configurator | 114
Dealer | 15
Remote Diagnostic Support | 12
Vehicle Image | 27
The Mercure protocol | 16
Swagger2OpenAPI Converter | 4
Meshery API. | 217
Miataru | 12
AutoSuggest Client | 5
Computer Vision Client | 12
Custom Image Search Client | 4
Custom Search Client | 4
Entity Search Client | 4
Image Search Client | 9
Local Search Client | 6
News Search Client | 7
Custom Vision Prediction Client | 31
Spell Check Client | 5
Custom Vision Training Client | 81
Video Search Client | 9
Visual Search Client | 5
Web Search Client | 4
Image Moderation | 4
Mon-voyage-pas-cher.com Public API | 26
Moon by Ai Weiwei & Olafur Eliasson | 10
MotaWord API | 443
Remote Settings | 31
Mtaa API Documentation | 18
Musixmatch API | 49
nextAuth API | 149
APOD | 5
TechPort | 8
Native Ads Publisher API | 7
Advicent.FactFinderService | 717
NaviPlan API | 350
NBA Stats API | 452
Account and Transaction API Specification - UK | 96
Health Data Consent Manager | 77
Gateway | 164
Health ID Service | 390
Health Repository Provider Specifications for HIP | 99
Health Repository Provider Specifications for HIU | 109
Neblio REST API Suite | 69
NeoWs - (Near Earth Object Web Service) | 30
NetBox API | 711
Labs64 NetLicensing RESTful API Test Center | 227
Account API | 9
Nexmo Application API | 0
Audit API | 0
Conversation API | 0
Nexmo Conversion API | 12
Dispatch API | 1
External Accounts API | 10
Media API | 4
Number Insight API | 6
Pricing API | 12
Redact API | 1
Reports API | 3
Subaccounts API | 9
nFusion Solutions Market Data API v1 | 53
NLPCloud | 23
Noosh API application | 100
Notion API - Public Beta | 14
NOWPayments API | 28
NPR Authorization Service | 6
NPR Identity Service | 7
NPR Listening Service | 11
NPR Sponsorship Service | 3
NPR Station Finder Service | 2
High Performance Building Database | 9
Transportation Laws and Incentives | 19
Georg API | 3
NSIDC Web Service Documentation Index | 11
Ntropy Transaction API | 6
Archive API | 5
Article Search API | 5
Community API | 18
Geographic API | 4
Most Popular API | 14
Movie Reviews API | 10
Semantic API | 7
TimesTags API | 3
Times Newswire API | 10
Top Stories | 3
Mobility API | 3
Socio-demo API | 2
obono RKSV API | 75
ODWeather | 59
Users (Okta API) | 64
OMDb | 0
OnSched API | 344
OnSched API Utility | 5
OpenALPR CarCheck API | 7
OpenAPI space | 48
OpenAQ | 53
Open Data API | 5
Swiss NextGen Banking API-Framework | 208
OpenCage Geocoder | 4
OpenChannel Market API | 226
ODN API | 13
opendatasoft | 85
OpenFIGI API | 2
OpenFinTech.io | 22
OSDB REST API v1 | 16
Open Policy Agent (OPA) REST API | 16
Smartphone Test Farm | 16
Open Targets Platform REST API | 72
OpenTrials API | 23
OpenUV - Global Real-Time UV Index Forecast API | 1
groov View Public API | 34
Orbit API | 58
OrgHunter | 25
Daymet Single Pixel Extraction Tool API | 18
OSF APIv2 Documentation | 220
PI Web API 2018 SP1 Swagger Spec | 336
Owler | 89
Oxford Dictionaries | 66
paccurate.io | 4
PandaScore REST API for All Videogames | 10
Pandorabots AIaaS | 41
papiNet API | 1
Bills API | 37
Commons Votes API | 13
Erskine May API | 30
Members API | 166
Annunciator content API | 7
House of Commons Oral and Written Questions API | 6
UK Parliament Search Service | 1
Written Questions Service API | 17
PasswordUtility.Web | 1
PatientView | 66
Swagger API-REST for Patrowl Engines | 17
PAYONE Link API | 8
Paylocity API | 141
GOV.UK Pay API | 24
PDF Blocks API | 53
PdfBroker.io API | 32
PDF Generator API | 6
Peel Tune-in API | 19
Pendo Feedback API | 78
Self Service Developer API | 5
Authentication | 4
Personnel Data | 6
PhantAuth | 6
Polling Places API | 3
Pims | 11
PocketSmith | 78
Poemist API | 4
Polygon | 31
Portfolio Optimizer | 200
Postmark Account-level API | 35
Postmark API | 61
PowerDNS Authoritative HTTP API | 52
Doc Converter | 3
OOXML Automation | 378
TV API | 23
Probely Developers | 229
PTV Timetable API - Version 3 | 34
Qualpay Payment Gateway API | 23
Qualtrics API | 10
Coronavirus API | 9
Quicksold REST API | 5
They Said So Quotes API | 49
Random Lovecraft | 1
Randommer API | 83
DynamicDocs | 1
Football Prediction API | 10
IdealSpot GeoData | 9
Language Identification (Prediction) | 4
RAWG Video Games Database API | 10
Request Baskets API | 53
API Endpoints | 112
Rebilly REST API | 89
Redeal Analytics API | 3
Catalog Inventory | 113
Patchman-engine API | 140
redirection.io | 254
Refuge Restrooms API | 17
Car Registration API | 4
topupsapi | 3
Background Removal API | 5
RESTful4Up | 17
Asynchronous Speech-To-Text API Documentation | 7
reverb | 515
Ritc | 93
RiteKit API | 23
CompanyAPI | 13
Rotten Tomatoes | 148
ChannelShipper & Royal Mail Public API | 37
Runscope API | 47
Sakari | 54
Einstein Vision and Einstein Language | 120
SchoolDigger API V1 | 9
Scrape Website Email API | 18
Seldon External API | 5
SelectPdf HTML To PDF API | 6
Semantria | 240
Email Activity (beta) | 481
setlist.fm API | 23
SheerSEO API | 9
rv API | 5
vs API | 5
shipstation | 1
カラーミーショップアプリストア API | 55
Shorten.REST API Documentation | 12
Shotstack | 6
SIGNL4 API | 157
SimplyRETS | 3
FORTNITE REST API | 17
Slack Web API | 482
Slicebox API | 169
SlideRoom API V2 | 14
smart-me | 87
sms77.io API | 22
Snyk API | 92
Solar VPS | 79
Sonar Trading | 17
SoundCloud Public API Specification | 59
SpectroCoin Merchant | 3
Article Rewriter and Article Extractor API | 8
Spinitron v2 API | 14
CBB v3 Scores | 26
CBB v3 Stats | 38
CFB v3 Scores | 32
CS:GO v3 Scores | 28
CS:GO v3 Stats | 28
Golf v2 | 25
LoL v3 Projections | 6
LoL v3 Scores | 28
LoL v3 Stats | 35
MLB v3 Play-by-Play | 6
MLB v3 Projections | 13
MLB v3 RotoBaller Articles | 8
MLB v3 RotoBaller Premium News | 8
MLB v3 Scores | 28
MLB v3 Stats | 46
NASCAR v2 | 10
NBA v3 Play-by-Play | 6
NBA v3 Projections | 16
NBA v3 RotoBaller Articles | 8
NBA v3 RotoBaller Premium News | 8
NBA v3 Scores | 34
NBA v3 Stats | 43
NFL v3 Play-by-Play | 6
NFL v3 Projections | 21
NFL v3 RotoBaller Articles | 8
NFL v3 RotoBaller Premium News | 9
NFL v3 Scores | 55
NFL v3 Stats | 102
NHL v3 Play-by-Play | 6
NHL v3 Projections | 11
NHL v3 Scores | 29
NHL v3 Stats | 41
Soccer v3 Projections | 11
Soccer v3 Scores | 37
Soccer v3 Stats | 49
Square Connect API | 455
StackExchange | 1376
api.ecota.co v2 | 43
Stoplight | 8
Storecove API | 134
Storm Glass Marine Weather | 5
Superset | 830
City of Surrey Open511 API | 9
City of Surrey Traffic Loop Count API. | 8
Psycholinguistic Text Analytics | 10
SYNQ Video | 11
Tafqit | 1
Taxamo | 130
Taxrates.io API | 7
Telegram Bot API | 66
Quick start - Telematics SDK | 21
Telnyx API | 1027
AltoroJ REST API | 53
Transport for London Unified API | 123
The Noun Project | 30
TheTVDB API v3 | 18
Commerce API | 5
Discovery API | 54
ticketmaster publish api | 22
TinyUID.com | 1
Tisane API Documentation | 5
API | 73
Maps | 88
Routing | 59
Search | 194
Tradematic Cloud API | 106
Airports API v2 | 10
TransitFeeds API | 5
TrapStreet API | 2
Trello | 1182
TruAnon Private API | 13
Hardware Sentry TrueSight Presentation Server REST API | 91
Checks API | 43
TSAPI | 8
Turbine Labs API | 65
TVmaze user API | 128
Twilio - Fax | 10
Twitter API | 469
Gateway REST API | 33
uebermaps API endpoints | 15
Up API | 23
Bulk Data Storage System Services | 32
Benefits Intake | 10
Veteran Confirmation | 4
VA Facilities | 3
VA Forms | 2
VAT API | 27
Vestorly API | 78
VictorOps | 429
Vimeo | 493
VisageCloud | 246
VisibleThread API | 36
VSOnline | 518
vRealize Network Insight API Reference | 701
Extension API | 5
User API | 5
Vonage Integration Suite | 110
Voodoo Manufacturing 3D Print API | 23
Google Pay Passes API | 169
Inventory Management | 16
Item API | 16
Orders API | 30
Price Management | 11
watchful.li | 150
The Water Linked Underwater GPS API | 73
Weatherbit.io - Swagger UI Weather API documentation | 96
WeGA API | 4
Accounts API | 9
Bets API | 7
Locations | 11
Sessions API | 2
SportsData API | 14
WhatsApp Business API | 108
Where to Credit API | 11
Who Hosts This API | 9
Wikimedia | 54
WikiPathways Webservices | 77
GraphRbacManagementClient | 124
WINSMS | 18
Real-Time Bus Predictions | 4
Bus Route and Stop Methods | 20
Incidents | 13
Real-Time Rail Predictions | 7
Rail Station Information | 25
Word Associations API | 9
Wordnik | 51
World Time API | 9
Wowza Streaming Cloud REST API Reference Documentation | 125
Transform | 7
Xero OAuth 2 Identity Service API | 5
Xero Payroll AU API | 64
Xero Accounting API | 465
Xero Assets API | 15
Xero Bank Feeds API | 22
Xero Files API | 25
XKCD | 6
Yodlee Core APIs | 323
YNAB API Endpoints | 41
Zalando Shop | 8
Zappiti Player API | 13
ZEIT API | 13
Zenoti API | 2
www.zoomconnect.com | 288
---------------------------------------------------
failed to read following OpenAPI definitions
title | url | print trace 
AmplifyBackend | https://api.apis.guru/v2/specs/amazonaws.com/amplifybackend/2020-08-11/openapi.json
 | b'Tem 05, 2025 4:05:52 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 05, 2025 4:05:52 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 05, 2025 4:05:52 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 05, 2025 4:05:52 \xd6S cli.utility.Config getConfig\r\nINFO: Error when trying to read the config file: src\\main\\resources\\config.properties (The system cannot find the path specified)\r\nTem 05, 2025 4:05:52 \xd6S cli.utility.Config createConfigFile\r\nINFO: Config file cannot be found. New file is created.\r\nTem 05, 2025 4:05:52 \xd6S cli.utility.Config createConfigFile\r\nINFO: Cannot create config file: The system cannot find the path specified\r\nTem 05, 2025 4:05:52 \xd6S cli.utility.Config addToConfig\r\nSEVERE: Properties not found!\r\nTem 05, 2025 4:05:52 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 1 of 19 is now checked:\r\nCRUD function names should not be used in URIs\r\nTem 05, 2025 4:05:52 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 2 of 19 is now checked:\r\nGET must be used to retrieve a representation of a resource\r\nTem 05, 2025 4:05:52 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 3 of 19 is now checked:\r\nForward slash separator (/) must be used to indicate a hierarchical relationship\r\nTem 05, 2025 4:05:52 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 4 of 19 is now checked:\r\nMust use official HTTP status codes\r\nTem 05, 2025 4:05:52 \xd6S cli.analyzer.RestAnalyzer runRuleViolationChecks\r\nINFO: Rule 5 of 19 is now checked:\r\nA verb or verb phrase should be used for controller names\r\nException in thread "main" java.lang.OutOfMemoryError: Java heap space\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3509)\r\n\tat java.base/java.util.Arrays.copyOf(Arrays.java:3478)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:238)\r\n\tat java.base/java.util.ArrayList.grow(ArrayList.java:245)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:484)\r\n\tat java.base/java.util.ArrayList.add(ArrayList.java:497)\r\n\tat cli.rule.Utility.split(Utility.java:204)\r\n\tat cli.rule.Utility.splitContiguousWords(Utility.java:163)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolationsFromPathSegments(VerbPhraseRule.java:139)\r\n\tat cli.rule.rules.VerbPhraseRule.lambda$getLstViolations$0(VerbPhraseRule.java:112)\r\n\tat cli.rule.rules.VerbPhraseRule$$Lambda/0x0000014b5a394000.accept(Unknown Source)\r\n\tat java.base/java.util.LinkedHashMap.forEach(LinkedHashMap.java:987)\r\n\tat cli.rule.rules.VerbPhraseRule.getLstViolations(VerbPhraseRule.java:101)\r\n\tat cli.rule.rules.VerbPhraseRule.checkViolation(VerbPhraseRule.java:89)\r\n\tat cli.analyzer.RestAnalyzer.runRuleViolationChecks(RestAnalyzer.java:85)\r\n\tat cli.analyzer.RestAnalyzer.runAnalyse(RestAnalyzer.java:63)\r\n\tat cli.utility.Output.startAnalysis(Output.java:218)\r\n\tat cli.RestRulerCli.run(RestRulerCli.java:55)\r\n\tat picocli.CommandLine.executeUserObject(CommandLine.java:2030)\r\n\tat picocli.CommandLine.access$1500(CommandLine.java:148)\r\n\tat picocli.CommandLine$RunLast.executeUserObjectOfLastSubcommandWithSameParent(CommandLine.java:2465)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2457)\r\n\tat picocli.CommandLine$RunLast.handle(CommandLine.java:2419)\r\n\tat picocli.CommandLine$AbstractParseResultHandler.execute(CommandLine.java:2277)\r\n\tat picocli.CommandLine$RunLast.execute(CommandLine.java:2421)\r\n\tat picocli.CommandLine.execute(CommandLine.java:2174)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:146)\r\n\tat io.micronaut.configuration.picocli.PicocliRunner.run(PicocliRunner.java:123)\r\n\tat cli.RestRulerCli.main(RestRulerCli.java:36)\r\n'
Amazon Macie 2 | https://api.apis.guru/v2/specs/amazonaws.com/macie2/2020-01-01/openapi.json
